日付,区分,時限,科目コード,科目名,担当教員,講義室
30(木),授業&試験,3-4,LAE.E214-24,英語第八 24-LS-ADV,※MITCHELL JON※Jon Mitchell,W322
30(木),授業&試験,3-4,LAE.E214-25,英語第八 25-LS,※STONEBURGH MARK※Stoneburgh Mark,W242
30(木),授業&試験,3-4,LAE.E214-26,英語第八 26-LS-ADV,※NARUM PAUL TIMOTHY※Narum Paul,W332
30(木),授業&試験,3-4,LAE.E214-27,英語第八 27-LS,※川村 由美※Kawamura Yumi,S515
30(木),授業&試験,3-4,LAE.E214-28,英語第八 28-LS,※蒔田 裕美※Makita Hiromi,W321
30(木),授業&試験,3-4,LAE.E214-29,英語第八 29-LS,※稲葉 麻里子※Inaba Mariko,4ラボ
30(木),授業&試験,3-4,LAE.E214-30,英語第八 30-LS,DE FERRANTI HUGH BARRY ZIANIDe Ferranti Hugh,W371
30(木),授業&試験,3-4,LAE.E214-31,英語第八 31-RW,※笠原 一郎※Kasahara Ichiro,S514
30(木),授業&試験,3-4,LAE.E214-32,英語第八 32-RW,※福田 一貴※Fukuda Kazutaka,2ラボ
30(木),授業&試験,3-4,LAE.E214-33,英語第八 33-RW,※丸山 令子※Maruyama Reiko,1ラボ
30(木),授業&試験,3-4,LAE.E214-34,英語第八 34-RW,※瀬上 和典※Senoue Kazunori,W331
30(木),授業&試験,3-4,LAE.E214-35,英語第八 35-RW,※木村 政則※Kimura Masanori,H113
30(木),授業&試験,3-4,LAE.E214-36,英語第八 36-RW,※倉科 真季※Kurashina Maki,H104
30(木),授業&試験,3-4,LAE.E214-37,英語第八 37-RW,石原 由貴Ishihara Yuki,3ラボ
30(木),授業&試験,3-4,LAE.E214-38,英語第八 38-RW,※宮本 朋子※Miyamoto Tomoko,W351
30(木),授業,3-4,LAE.E358,TOEFL対策セミナー（リーディング＆ライティング）第十二,※JONATHAN ABEL※Abel Jonathan,H119B
30(木),期末試験,3-4,LAS.I122-11,コンピュータサイエンス第二 6a(CS2),DEFAGO XAVIERDefago Xavier,W631
30(木),授業,3-4,LAS.I122-12,コンピュータサイエンス第二 6b(CS2),※伊知地 宏※Ichiji Hiroshi,"W323,南4号館情報ネットワーク第一演習室"
30(木),期末試験,3-4,LAS.M106-08,線形代数学第二 S(61～70),※黒川 信重※Kurokawa Nobushige,W541
30(木),期末試験,3-4,LAS.M106-09,線形代数学第二 T(71～80),遠藤 久顕Endo Hisaaki,W241
30(木),授業,3-4,LAW.W111-06,健康科学演習 D2,丸山 剛生Maruyama Takeo,運動処方室ほか
30(木),授業,3-4,LAW.W111-07,健康科学演習 D3,※伊藤 信之※Itou Nobuyuki,屋内運動場地下1階武道場
30(木),期末試験,3-4,MTH.B212,幾何学概論第二,山田 光太郎Yamada Kotaro,H136
30(木),授業,3-4,TSE.A205-02,流体工学基礎,"木内 豪,髙木 泰士 他Kinouchi Tsuyoshi,Takagi Hiroshi et al.",S422
30(木),期末試験,5-6,ARC.S204,建築構造材料構法,"横山 裕,三上 貴正Yokoyama Yutaka,Mikami Takamasa",W933
30(木),授業,5-6,CAP.C341,ケミカルエンジニアリングトピックス,"下山 裕介,LIONEL LAM KAR WEIShimoyama Yusuke,Lam Lionel",S422
30(木),授業&試験,5-6,CHM.B332,光化学,"石谷 治,前田 和彦Ishitani Osamu,Maeda Kazuhiko",W932
30(木),授業,5-6,EEE.C211,アナログ電子回路,"鈴木 左文, ファム ナムハイSuzuki Safumi,Pham Nam Hai",S221
30(木),授業,5-6,IEE.A206,オペレーションズ・リサーチ 基礎,"水野 眞治,中田 和秀 他Mizuno Shinji, Nakata Kazuhide et al.",W934
30(木),授業&試験,5-6,LAE.E214-39,英語第八 39-LS-ADV,※MITCHELL JON※Jon Mitchell,W332
30(木),授業&試験,5-6,LAE.E214-40,英語第八 40-LS,※STONEBURGH MARK※Stoneburgh Mark,W371
30(木),授業&試験,5-6,LAE.E214-41,英語第八 41-LS,※NARUM PAUL TIMOTHY※Narum Paul,W331
30(木),授業&試験,5-6,LAE.E214-42,英語第八 42-LS,※川村 由美※Kawamura Yumi,W322
30(木),授業&試験,5-6,LAE.E214-43,英語第八 43-RW,※笠原 一郎※Kasahara Ichiro,2ラボ
30(木),授業&試験,5-6,LAE.E214-44,英語第八 44-RW,田村 斉敏Tamura Masatoshi,3ラボ
30(木),授業&試験,5-6,LAE.E214-45,英語第八 45-RW,※稲葉 麻里子※Inaba Mariko,4ラボ
30(木),授業&試験,5-6,LAE.E214-46,英語第八 46-RW,谷岡 健彦Tanioka Takehiko,W931
30(木),授業&試験,5-6,LAH.H305,歴史学Ｃ,福留 真紀Fukutome Maki,W321
30(木),授業,5-6,LAH.H313,教養特論：都市,木内 久美子Kiuchi Kumiko,W351
30(木),授業&試験,5-6,LAH.S302,法学（民事法）Ｃ,金子 宏直Kaneko Hironao,W935
30(木),授業,5-6,LAH.S306,心理学Ｃ,永岑 光恵Nagamine Mitsue,H136
30(木),授業,5-6,LAH.T301,統計学Ｃ,毛塚 和宏Kezuka Kazuhiro,南4号館3階 情報ネットワーク演習室 第1演習室
30(木),授業,5-6,LAW.W221-47,生涯スポーツ実習 D16,※若山 章信※Wakayama Akinobu,"屋内運動場,グラウンド,テニスコート"
30(木),授業,5-6,LAW.W221-48,生涯スポーツ実習 D17,※伊藤 信之※Itou Nobuyuki,"屋内運動場,グラウンド,テニスコート"
30(木),期末試験,5-6,MEC.M231,宇宙工学基礎,"松永 三郎,古谷 寛 他Matunaga Saburo,Furuya Hiroshi et al.",I121
30(木),期末試験,5-6,SCE.I203,デジタル信号処理,原 精一郎Hara Seiichiro,S621
30(木),授業,5-6,XEG.B104-01,工学リテラシーⅣ a,各 教員Teaching Staffs,"南3号館1階101号室;,南3号館1階105号室; ,南2号館3階302 号室;,南2号館3階307号室;,南2号館3階301号室最後部"
30(木),授業,5-6,XEG.B104-02,工学リテラシーⅣ b,各 教員Teaching Staffs,"南3号館1階101号室;,南3号館1階105号室; ,南2号館3階302 号室;,南2号館3階307号室;,南2号館3階301号室最後部"
30(木),授業,5-6,XEG.B104-07,工学リテラシーⅣ g,各 教員Teaching Staffs,"<前半>,石川台3号館2階，統合創造工房(201-B号室),<後半>,石川台3号館2階，統合創造工房(201-C号室)"
30(木),授業,5-6,XEG.B104-08,工学リテラシーⅣ h,各 教員Teaching Staffs,"<前半>,石川台3号館2階，統合創造工房(201-C号室),<後半>,石川台3号館2階，統合創造工房(201-B号室)"
30(木),授業,5-6,XES.A104,環境・社会理工学院専門基礎３,"中村 隆志,錦澤 滋雄 他Nakamura Takashi,Nishikizawa Shigeo et al.",W641
30(木),授業,5-8,EPS.B212,電磁気学（地惑）,"奥住 聡,佐藤 文衛Okuzumi Satoshi,Sato Bunei",I2-318
30(木),授業,5-8,MAT.A252,"材料科学実験（M, P, C）第三","宮内 雅浩,鞠谷 雄士 他Miyauchi Masahiro,Kikutani Takeshi et al.","南7,8号館"
30(木),期末試験,5-8,MEC.I333,ロボットの力学と制御,"岡田 昌史,小俣 透Okada Masafumi, Omata Toru",H121
30(木),期末試験,7-8,ARC.A307,建築生産,※竹田 智英※Takeda Tomohide,W935
30(木),授業,7-8,CSC.T272,人工知能,篠田 浩一Shinoda Koichi,W621
30(木),授業,7-8,ICT.H318,人工知能基礎（情報通信）,"奥村 学,中山 実Okumura Manabu,Nakayama Minoru",S422
30(木),期末試験,7-8,ICT.M215,離散構造とアルゴリズム,髙橋 篤司Takahashi Atsushi,S621
30(木),授業,7-8,LAE.E244-02,英語プレゼンテーション演習第八 2,※JONATHAN ABEL※Abel Jonathan,1ラボ
30(木),授業,7-8,LAS.D104-02,図形科学とCG2 B,"岩附 信行,菅原 雄介 他Iwatsuki Nobuyuki, Sugahara Yusuke et al.",I3-303コンピュータ室ならびにI3-310
30(木),期末試験,7-8,LAS.P106-16,物理学演習第二 p,西田 祐介Nishida Yusuke,H136
30(木),授業,7-8,LAW.W221-50,生涯スポーツ実習 D19,※若山 章信※Wakayama Akinobu,"屋内運動場,グラウンド,テニスコート"
30(木),授業,7-8,MAT.P312,有機化学(機能)B,道信 剛志Michinobu Tsuyoshi,S8-102
30(木),授業,7-8,MCS.T334,プログラミング言語処理系,南出 靖彦Minamide Yasuhiko,W834
30(木),期末試験,7-8,MEC.B231,確率・統計,"阪口 基己,志村 祐康Sakaguchi Motoki, Shimura Masayasu",H101
30(木),授業,7-8,PHY.C344,プラズマ物理学,河村 徹Kawamura Toru,H116
30(木),授業&試験,7-8,SCE.S203,ロボットの機構と力学,"山北 昌毅,塚越 秀行Yamakita Masaki,Tsukagoshi Hideyuki",S622
30(木),授業,7-8,TSE.A203-02,電気・磁気工学基礎,"髙田 潤一,CHOI SUNKYUNG 他Takada Jun-Ichi, Choi Sunkyung et al.",S513
30(木),授業,7-8,TSE.A203-03,電気・磁気工学基礎,"林﨑 規託,山下 幸彦 他Hayashizaki Noriyosu,Yamashita Yukihiko etal.",S224
30(木),授業,7-8,TSE.A304,工業化学,"日野出 洋文,KURNIAWAN WINARTOHinode Hirofumi,Kurniawan Winarto",S514
30(木),授業,9-10,LAE.E114-24,英語第四 24-LS-ADV,※NARUM PAUL TIMOTHY※Narum Paul,W332
3(月),授業&試験,1-2,LAE.E114-05,英語第四 5-LS,※松井 恭子※Matsui Kyoko,H104
3(月),期末試験,1-2,CHM.C334,反応物理化学,北島 昌史Kitajima Masashi,H137
3(月),授業&試験,1-2,LAE.E114-01,英語第四 1-LS-ADV,※MITCHELL JON※Jon Mitchell,W323
3(月),授業&試験,1-2,LAE.E114-02,英語第四 2-LS-ADV,※STONEBURGH MARK※Stoneburgh Mark,W322
3(月),授業&試験,1-2,LAE.E114-03,英語第四 3-LS-ADV,※NARUM PAUL TIMOTHY※Narum Paul,W332
3(月),授業&試験,1-2,LAE.E114-04,英語第四 4-LS,※YAMADA SUSAN KAY ADAMS※Suzan Yamada,W371
3(月),授業&試験,1-2,LAE.E114-06,英語第四 6-LS,※近藤 章子※Kondo Akiko,H102
3(月),授業&試験,1-2,LAE.E114-07,英語第四 7-LS,※中村 彰※Nakamura Akira,3ラボ
3(月),授業&試験,1-2,LAE.E114-08,英語第四 8-LS,田村 斉敏Tamura Masatoshi,W936
3(月),授業,1-2,LAE.E114-09,英語第四 9-LS,KIYAMA LORINDA ROBERTSONKiyama Lorinda,H115
3(月),授業&試験,1-2,LAE.E114-10,英語第四 10-LS,薩摩 竜郎Satsuma Tatsuro,4ラボ
3(月),授業&試験,1-2,LAE.E114-11,英語第四 11-RW,北川 依子Kitagawa Yoriko,H114
3(月),授業&試験,1-2,LAE.E114-12,英語第四 12-RW,原田 大介Harada Daisuke,H112
3(月),授業&試験,1-2,LAE.E114-13,英語第四 13-RW,※小堀 洋※Kobori Hiroshi,H103
3(月),授業&試験,1-2,LAE.E114-14,英語第四 14-RW,※宇貫 亮※Unuki Ryou,W331
3(月),授業&試験,1-2,LAE.E114-15,英語第四 15-RW,小泉 勇人Koizumi Yuto,W321
3(月),授業&試験,1-2,LAE.E114-16,英語第四 16-RW,※矢向 寛子※Yako Hiroko,W351
3(月),授業&試験,1-2,LAE.E114-17,英語第四 17-RW,※木村 政則※Kimura Masanori,S515
3(月),授業&試験,1-2,LAE.E114-18,英語第四 18-RW,※丸山 令子※Maruyama Reiko,S514
3(月),授業&試験,1-2,LAE.E114-19,英語第四 19-RW,※宮永 隆一朗※Miyanaga Ryuichiro,W935
3(月),授業&試験,1-2,LAE.E114-20,英語第四 20-RW,石原 由貴Ishihara Yuki,W932
3(月),授業&試験,1-2,LAE.E114-21,英語第四 21-RW,山根 亮一Yamane Ryoichi,S423
3(月),授業,1-2,LAE.E234,英語スピーキング演習第八,安納 真理子Anno Mariko,W931
3(月),授業&試験,1-2,LAE.E354,TOEFL対策セミナー（リスニング＆スピーキング）第十二,※BURNS MARK DEREK※Burns Mark,1ラボ
3(月),期末試験,1-2,LAH.S201,法学（憲法）Ｂ,※松村 芳明※Matsumura Yoshiaki,H135
3(月),期末試験,1-2,LAH.T203,技術史Ｂ,※詫間 直樹※Takuma Naoki,W521
3(月),期末試験,1-2,LAS.I122-01,コンピュータサイエンス第二 1a(CS2),鹿島 亮Kashima Ryo,W242
3(月),授業,1-2,LAS.M106-06,線形代数学第二 Q(41～50),※寺尾 宏明※Terao Hiroaki,H101
3(月),授業,1-2,LAS.M106-07,線形代数学第二 R(51～60),土岡 俊介Tsuchioka Shunsuke,W541
3(月),期末試験,1-2,PHY.C343,化学物理学,金森 英人Kanamori Hideto,H136
3(月),期末試験,1-2,TSE.A311,原子核工学概論,"小栗 慶之,小原 徹 他Oguri Yoshiyuki,Obara Toru et al.","S221,S222"
3(月),授業,1-4,LAH.H203,文化人類学Ｂ,※田中 理恵子※Tanaka Rieko,W621
3(月),授業&試験,3-4,LAE.E214-06,英語第八 6-LS,※松井 恭子※Matsui Kyoko,H104
3(月),授業,3-4,CVE.M203,測量学,"千々和 伸浩,※新名 恭仁Chijiwa Nobuhiro,※Nina Yasuhito",M111
3(月),期末試験,3-4,ICT.C214,通信方式,府 川 和 彦 Fukawa Kazuhiko,S421
3(月),授業&試験,3-4,LAE.E214-01,英語第八 1-LS,※MITCHELL JON※Jon Mitchell,W323
3(月),授業&試験,3-4,LAE.E214-02,英語第八 2-LS-ADV,※STONEBURGH MARK※Stoneburgh Mark,W322
3(月),授業&試験,3-4,LAE.E214-03,英語第八 3-LS-ADV,※NARUM PAUL TIMOTHY※Narum Paul,W332
3(月),授業&試験,3-4,LAE.E214-04,英語第八 4-LS,※YAMADA SUSAN KAY ADAMS※Suzan Yamada,W371
3(月),授業&試験,3-4,LAE.E214-05,英語第八 5-LS,※BURNS MARK DEREK※Burns Mark,1ラボ
3(月),授業&試験,3-4,LAE.E214-07,英語第八 7-LS,※矢向 寛子※Yako Hiroko,W351
3(月),授業&試験,3-4,LAE.E214-08,英語第八 8-LS,※中村 彰※Nakamura Akira,3ラボ
3(月),授業&試験,3-4,LAE.E214-09,英語第八 9-RW,※宇貫 亮※Unuki Ryou,W331
3(月),授業&試験,3-4,LAE.E214-10,英語第八 10-RW,※近藤 章子※Kondo Akiko,H102
3(月),授業&試験,3-4,LAE.E214-11,英語第八 11-RW,※宮永 隆一朗※Miyanaga Ryuichiro,W934
3(月),授業&試験,3-4,LAE.E214-12,英語第八 12-RW,北川 依子Kitagawa Yoriko,4ラボ
3(月),授業&試験,3-4,LAE.E214-13,英語第八 13-RW,※小堀 洋※Kobori Hiroshi,H113
3(月),授業&試験,3-4,LAE.E214-14,英語第八 14-RW,※丸山 令子※Maruyama Reiko,S514
3(月),授業&試験,3-4,LAE.E214-15,英語第八 15-RW,※木村 政則※Kimura Masanori,S515
3(月),授業&試験,3-4,LAE.E214-16,英語第八 16-RW,木内 久美子Kiuchi Kumiko,H116
3(月),授業&試験,3-4,LAE.E244-01,英語プレゼンテーション演習第八 1,※ANTHONY PAGE※Anthony Page,H119A
3(月),期末試験,3-4,LAS.I122-03,コンピュータサイエンス第二 2a(CS2),鹿島 亮Kashima Ryo,W242
3(月),授業,3-4,LAS.I122-13,コンピュータサイエンス第二 EN(CS2),BONNET FRANCOISBonnet Francois,学術国際情報センター情報棟３階第１実習室
3(月),授業,3-4,LAS.M105-05,微分積分学第二 M(1～10),※申 正善※Shin Jongson,H121
3(月),授業,3-4,LAS.M105-06,微分積分学第二 N(11～20),土岡 俊介Tsuchioka Shunsuke,W541
3(月),期末試験,3-4,MAT.P205,物理化学(相平衡）,塩谷 正俊Shioya Masatoshi,S8-102
3(月),授業,3-4,MEC.B232,基礎数値計算法,"長﨑 孝夫,肖 鋒Nagasaki Takao,Xiao Feng","石川台3号館301,302,303,310号室"
3(月),期末試験,3-4,MTH.C204,解析学概論第四,"隠居 良行, 三浦 達哉Kagei Yoshiyuki,Miura Tatsuya",H103
3(月),授業,3-4,TSE.A205-02,流体工学基礎,"木内 豪, 髙木 泰士 他Kinouchi Tsuyoshi, Takagi Hiroshi et al.",W241
3(月),期末試験,5-6,ARC.E304,建築設備の制御,"※岩瀬 和夫,※田村 一※Iwase Kazuo, ※Tamura Hajime",M113
3(月),授業,5-6,EEE.C211,アナログ電子回路,"鈴木 左文,ファム ナムハイSuzuki Safumi,Pham Nam Hai",S221
3(月),期末試験,5-6,IEE.A206,オペレーションズ・リサーチ 基礎,"水野 眞治,中田 和秀 他Mizuno Shinji,Nakata Kazuhide et al.",H121
3(月),授業&試験,5-6,LAE.E214-17,英語第八 17-LS,※MITCHELL JON※Jon Mitchell,4ラボ
3(月),授業&試験,5-6,LAE.E214-18,英語第八 18-LS-ADV,※STONEBURGH MARK※Stoneburgh Mark,H119A
3(月),授業&試験,5-6,LAE.E214-19,英語第八 19-LS,※NARUM PAUL TIMOTHY※Narum Paul,H104
3(月),授業&試験,5-6,LAE.E214-20,英語第八 20-LS,※BURNS MARK DEREK※Burns Mark,1ラボ
3(月),授業&試験,5-6,LAE.E214-21,英語第八 21-RW,※中村 彰※Nakamura Akira,3ラボ
3(月),授業&試験,5-6,LAE.E214-22,英語第八 22-RW,※宇貫 亮※Unuki Ryou,W322
3(月),授業&試験,5-6,LAE.E214-23,英語第八 23-RW,※小堀 洋※Kobori Hiroshi,W331
3(月),授業&試験,5-6,LAE.E344,アカデミックプレゼンテーション第十二,※ANTHONY PAGE※Anthony Page,W332
3(月),授業,5-6,LAH.H104,文学Ａ,磯﨑 憲一郎Isozaki Kenichiro,W631
3(月),授業,5-6,LAH.H106,宗教学Ａ,弓山 達也Yumiyama Tatsuya,W541
3(月),授業,5-6,LAH.S112,メディア論Ａ,柳瀬 博一Yanase Hiroichi,H101
3(月),期末試験,5-6,LAH.S306,心理学Ｃ,永岑 光恵Nagamine Mitsue,H136
3(月),授業&試験,5-6,LAH.T102,科学史Ａ,多久和 理実Takuwa Yoshimi,W641
3(月),授業&試験,5-6,LAH.T103,技術史Ａ,※小林 学※Kobayashi Manabu,W521
3(月),授業&試験,5-6,LAH.T106,科学哲学Ａ,※田子山 和歌子※Tagoyama Wakako,W933
3(月),授業,5-6,LAH.T109,言語学Ａ,"平川 八尋,山元 啓史Hirakawa Yahiro,Yamamoto Hilofumi",W621
3(月),授業,5-6,LAH.T111,教養特論：技術と美術の哲学,BEKTAS YAKUPBektas Yakup,W323
3(月),授業,5-6,MEC.F211-01,実在流体力学 A,"青木 尊之,店橋 護 他Aoki Takayuki, Tanahashi Mamoru et al.",W241
3(月),期末試験,5-8,EPS.B212,電磁気学（地惑）,"奥住 聡,佐藤 文衛Okuzumi Satoshi, Sato Bunei",I2-318
3(月),授業,5-8,MAT.A252,"材料科学実験（M, P, C）第三","宮内 雅浩,鞠谷 雄士 他Miyauchi Masahiro,Kikutani Takeshi et al.","南7,8号館"
3(月),授業&試験,5-8,MEC.M333,宇宙開発工学,"岩田 隆敬,野田 篤司 他Iwata Takanori,Noda Atsushi et al.",I121
3(月),期末試験,7-8,CAP.C212,分離操作,谷口 泉Taniguchi Izumi,W933
3(月),期末試験,7-8,CSC.T272,人工知能,篠田 浩一Shinoda Koichi,W621
3(月),授業,7-8,CVE.A210,土木振動学,盛 川 仁Morikawa Hitoshi,M321
3(月),期末試験,7-8,ICT.H318,人工知能基礎（情報通信）,"奥村 学,中山 実Okumura Manabu,Nakayama Minoru",W935
3(月),授業&試験,7-8,LAE.E154-01,TOEFL対策セミナー（リスニング＆スピーキング）第四 1,※ANTHONY PAGE※Anthony Page,W323
3(月),授業,7-8,LAH.T113,教養特論：未来社会デザイン入門,"中野 民夫,柳瀬 博一Nakano Tamio,Yanase Hiroichi","""W9-716,(West Bidg.9 Rm716)"""
3(月),期末試験,7-8,LAS.D112,図学・図形デザイン第二,"安田 幸一, 奥山 信一 他Yasuda Koichi, Okuyama Shinichi et al.",H121
3(月),期末試験,7-8,MAT.P327,繊維・複合材料B,鞠谷 雄士Kikutani Takeshi,S8-102
3(月),期末試験,7-8,MEC.F211-01,実在流体力学 A,"青木 尊之,店橋 護 他Aoki Takayuki, Tanahashi Mamoru et al.","W241,W242"
3(月),期末試験,7-8,PHY.C344,プラズマ物理学,河村 徹Kawamura Toru,H135
3(月),期末試験,7-8,TSE.A203-02,電気・磁気工学基礎,"髙田 潤一, CHOI SUNKYUNG 他Takada Jun-Ichi, Choi Sunkyung et al.",S513
3(月),期末試験,7-8,TSE.A203-03,電気・磁気工学基礎,"林﨑 規託,山下 幸彦 他Hayashizaki Noriyosu, Yamashita Yukihiko etal.",S622
3(月),授業,9-10,LAE.E311-17,英語第九 17 再履修,原田 大介Harada Daisuke,W331
4(火),授業,1-2,MEC.H231,デザイン工学,"齊藤 滋規, 葭田 貴子 他Saito Shigeki,Yoshida Takako et al.",石川台3号館201A号室，石川台5号館デザイン工房
4(火),授業,1-2,ARC.A205,建築数理,"大佛 俊泰, 田村 哲郎 他Osaragi Toshihiro,Tamura Tetsuro et al.",M114
